nome_do_titulo,worth_it,nome_do_fundo,data_da_analise,numeroTotalDeCotistas,n_cotistas_pessoa_fisica,n_cotistas_pessoa_juridica_nao_financeira,n_cotistas_banco_comercial,n_cotistas_corretora_ou_distribuidora,n_cotistas_outras_pessoas_juridicas_financeiras,n_cotistas_investidores_nao_residentes,n_cotistas_entidade_aberta_de_previdencia,n_cotistas_entidade_fechada_de_previdencia,n_cotistas_regime_proprio_de_previdencia,n_cotistas_sociedade_seguradora,n_cotistas_sociedade_de_capitalizacao,n_cotistas_fiis,n_cotistas_outros_fundos_de_investimento,n_cotistas_distribuidores_de_fundo,n_cotistas_nao_relacionados,ativos,patrimonio_liquido,n_de_cotas_emitidas,valor_patrimonial_das_cotas,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio,despesas_com_agente_custodiante_em_relacao_ao_patrimonio,rentabilidade_efetiva_mensal,rentabilidade_patrimonial,dividend_yield,amortizacoes_de_cotas_no_mes_ref,total_mantido_para_necessidade_de_liquidez,total_mantido_para_necessidade_de_liquidez_disponibilidade,total_mantido_para_necessidade_de_liquidez_titulos_publicos,total_mantido_para_necessidade_de_liquidez_titulos_privados,total_mantido_para_necessidade_de_liquidez_fundos_de_renda_fixa,total_investido,total_investido_direitos_reais_sobre_bens,total_investido_direitos_reais_sobre_bens_terrenos,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_em_construcao,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao,total_investido_direitos_reais_sobre_bens_outros_direitos_reais,total_investido_acoes,total_investido_debentures,total_investido_subscricao,total_investido_depositos_de_valores_mobiliarios,total_investido_cedulas_debentures,total_investido_fia,total_investido_fip,total_investido_fii,total_investido_fidc,total_investido_outras_cotas_de_fundos,total_investido_notas_promissorias,total_investido_acoes_de_sociedades,total_investido_cotas_de_sociedades,total_investido_cepac,total_investido_cri_ou_cra,total_investido_letras_hipotecarias,total_investido_lci_ou_lca,total_investido_lig,total_investido_outros_valores_mobiliarios,valores_a_receber,valores_a_receber_por_alugueis,valores_a_receber_por_venda_de_imoveis,valores_a_receber_por_outros,passivo_rendimentos_a_distribuir,passivo_taxa_de_adm,passivo_taxa_de_performance,passivo_obrigacoes_por_aquisicao_de_imoveis,passivo_adiantamento_por_venda_de_imoveis,passivo_adiantamento_de_valores_de_alugueis,passivo_obrigacoes_por_securitizacao_de_recebiveis,passivo_instrumentos_financeiros_derivativos,passivo_provisoes_para_contingencias,passivo_outros_valores_a_pagar,passivo_total
BTLG11,1,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08/2023,243672,243070,496,0,1,2,28,0,1,0,0,0,24,50,0,0,3126478482.79,2799276268.56,28492634.0,98.245612,0,0.0,0.6356,0.0845,0.5511,0.0,825649700.21,0.0,0.0,0.0,825649700.21,2276171072.02,2129907262.67,0.0,2129907262.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101539784.05,0.0,0.0,0.0,42037818.55,0.0,0.0,2686206.75,0.0,0.0,0.0,0.0,24657710.56,15428675.7,0.0,9229034.86,11344420.85,1671857.69,0.0,44322250.93,0.0,0.0,227301558.16,0.0,0.0,42562126.6,327202214.23
BTLG11,1,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,09/2023,249291,248692,503,0,1,2,16,0,2,0,0,0,25,50,0,0,3137447359.51,2803320267.77,28492634.0,98.387544,0,0.0,1.252,0.1445,1.1075,0.0,859111504.13,0.0,0.0,0.0,859111504.13,2213579608.32,2066670052.83,0.0,2066670052.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102342489.96,0.0,0.0,0.0,42037818.55,0.0,0.0,2529246.98,0.0,0.0,0.0,0.0,64756247.06,16479794.57,40769328.0,7507124.49,26048938.15,2201932.12,0.0,44322250.93,0.0,0.0,227113808.56,0.0,0.0,34440161.98,334127091.74
BTLG11,1,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,10/2023,254883,254287,509,0,1,3,15,0,2,0,0,0,26,40,0,0,3142795265.37,2822465816.63,28492634.0,99.059491,0,0.0,1.253,0.683,0.57,0.0,863781587.02,0.0,0.0,0.0,863781587.02,2214710839.2,2068243286.59,0.0,2068243286.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102101067.55,0.0,0.0,0.0,42037818.55,0.0,0.0,2328666.51,0.0,0.0,0.0,0.0,64302839.15,16309178.36,40769328.0,7224332.79,0.0,2143857.01,0.0,44322250.93,0.0,0.0,227150422.2,0.0,0.0,46712918.6,320329448.74
BTLG11,1,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11/2023,260030,259440,506,0,1,3,11,0,2,0,0,0,29,38,0,0,3137800097.01,2822378074.38,28492634.0,99.056411,0,0.0,0.6324,-0.0031,0.6355,0.0,851127124.52,0.0,0.0,0.0,851127124.52,2217016290.77,2070214817.06,0.0,2070214817.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102635952.0,0.0,0.0,0.0,42037818.55,0.0,0.0,2127703.16,0.0,0.0,0.0,0.0,69656681.72,17240982.31,40769328.0,11646371.41,0.0,2125536.25,0.0,39484515.93,0.0,0.0,227180535.12,0.0,0.0,46631435.33,315422022.63
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11/2023,104345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699293879.95,1570752046.51,15418106.0,101.877108,0,0.0025,2.0701,1.0779,0.9922,0.0,41302691.76,4999.99,0,0,41297691.77,1656892319.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,214723327.41,0,0,0,0,0,0,1442168992.19,0,0,0,0,1098868.59,0,0,1098868.59,15418118.8,1007291.78,60996.71,0,0,0,0,0,0,112055426.15,128541833.44
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,10/2023,104422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692852783.92,1554001185.22,15418106.0,100.790667,0,0.0027,-0.1132,-1.0945,0.9813,0.0,38748364.45,4999.93,0,0,38743364.52,1652903606.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,217365814.82,0,0,0,0,0,0,1435537791.19,0,0,0,0,1200813.46,0,0,1200813.46,15418114.8,1085155.68,121993.42,0,0,0,0,0,0,122226334.8,138851598.7
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,09/2023,103567,103196,317,0,2,0,7,2,0,0,0,0,16,20,0,7,1710510160.7,1571197334.48,15418106.0,101.905989,0,0.0025,0.0182,-1.0499,1.0681,0.0,33767496.45,5000.08,0,0,33762496.37,1675574215.61,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,220895264.15,0,0,0,0,0,0,1454678951.46,0,0,0,0,1168448.64,0,0,1168448.64,16959921.0,1047413.13,182990.14,0,0,0,0,0,0,121122501.95,139312826.22
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,08/2023,102780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726431006.06,1587869105.57,15418106.0,102.9873,0,0.0029,0.3716,-0.6891,1.0607,0.0,43067378.12,4999.97,0,0,43062378.15,1682646314.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,222772507.25,0,0,0,0,0,0,1459873806.75,0,0,0,0,717313.94,0,0,717313.94,16959916.6,1199102.84,243986.86,0,0,0,0,0,0,120158894.19,138561900.49
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,07/2023,99670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736287748.13,1598887163.8,15418106.0,103.701918,0,0.0026,1.2329,0.1704,1.0625,0.0,48076867.37,4999.99,0,0,48071867.38,1687388774.69,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,223559596.99,0,0,0,0,0,0,1463829177.7,0,0,0,0,822106.07,0,0,822106.07,16959916.6,1077079.51,517280.32,0,0,0,0,0,0,118846307.9,137400584.33
HGCR11,1,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,06/2023,95641,95298,284,0,1,0,4,3,0,0,0,0,20,21,0,10,1711604824.72,1596166619.78,15418106.0,103.525467,0,0.0026,1.8778,0.7105,1.1673,0.0,66577927.82,5000.0,0,0,66572927.82,1644299488.46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,221429272.25,0,0,0,0,0,0,1422870216.21,0,0,0,0,727408.44,0,0,727408.44,18501727.2,1061186.63,365980.3,0,0,0,0,0,0,95509310.81,115438204.94
