nome_do_titulo,worth_it,n_cotistas_banco_comercial_std,n_cotistas_corretora_ou_distribuidora_mean,n_cotistas_corretora_ou_distribuidora_std,n_cotistas_sociedade_de_capitalizacao_mean,n_cotistas_sociedade_de_capitalizacao_std,n_cotistas_distribuidores_de_fundo_mean,n_cotistas_distribuidores_de_fundo_std,n_cotistas_nao_relacionados_mean,n_cotistas_nao_relacionados_std,valor_patrimonial_das_cotas_mean,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio_mean,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio_std,dividend_yield_mean,dividend_yield_std,total_mantido_para_necessidade_de_liquidez_titulos_privados_mean,total_mantido_para_necessidade_de_liquidez_titulos_privados_std,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao_mean,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao_std,total_investido_direitos_reais_sobre_bens_outros_direitos_reais_std,total_investido_acoes_mean,total_investido_acoes_std,total_investido_debentures_mean,total_investido_debentures_std,total_investido_subscricao_mean,total_investido_subscricao_std,total_investido_depositos_de_valores_mobiliarios_mean,total_investido_depositos_de_valores_mobiliarios_std,total_investido_cedulas_debentures_mean,total_investido_cedulas_debentures_std,total_investido_fia_mean,total_investido_fia_std,total_investido_fip_mean,total_investido_fip_std,total_investido_fidc_mean,total_investido_fidc_std,total_investido_notas_promissorias_mean,total_investido_notas_promissorias_std,total_investido_cepac_mean,total_investido_cepac_std,total_investido_letras_hipotecarias_mean,total_investido_letras_hipotecarias_std,total_investido_lig_mean,total_investido_lig_std
HGLG11,1.0,0.0,0.5,0.8366600265340756,0.0,0.0,0.0,0.0,3.0,4.690415759823429,154.93158616666668,0.0,0.0,0.71385,0.009255214746293022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGRE11,0.0,0.0,0.3333333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,2.3333333333333335,3.669695718539436,153.99522366666667,0.0,0.0,0.5507166666666666,0.11074284476509831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNCR11,1.0,0.0,0.6666666666666666,1.0327955589886444,0.0,0.0,0.0,0.0,0.0,0.0,100.90721166666667,0.0,0.0,1.0868166666666665,0.07526160818549296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNIP11,1.0,0.0,1.0,1.0954451150103321,0.0,0.0,0.0,0.0,1.3333333333333333,1.505545305418162,98.290901,0.0,0.0,0.6929666666666666,0.10846561974499876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNSC11,1.0,0.0,0.6666666666666666,1.0327955589886446,0.0,0.0,0.0,0.0,1.8333333333333333,2.857738033247041,9.056867833333333,0.0,0.0,0.8655666666666667,0.08103502123567725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBRF11,1.0,0.0,1.5,0.5477225575051662,0.0,0.0,0.0,0.0,0.5,0.5477225575051661,74.19414166666667,0.0,0.0,0.5141666666666667,0.22398528225458625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBRP11,0.0,0.0,0.3333333333333333,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,81.15250883333333,0.0,0.0,0.12526666666666667,0.1953278645423296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBRR11,1.0,0.0,1.1666666666666667,0.408248290463863,0.0,0.0,0.0,0.0,1.3333333333333333,2.065591117977289,94.47637333333334,0.0,0.0,0.6872333333333334,0.10342055243841364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBRY11,1.0,0.0,1.3333333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.5,1.760681686165901,98.469111,0.0,0.0,1.0034333333333334,0.14714435995533998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECT11,0.0,0.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.0,0.0,92.37793233333333,0.0,0.0,0.4325833333333333,0.0009453394452082487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNCI11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4250295,0.0,0.0,0.9109333333333334,0.15266703202285248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORD11,0.0,0.0,2.3333333333333335,1.2110601416389966,0.0,0.0,0.0,0.0,1.6666666666666667,0.816496580927726,12.686812166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRXF11,1.0,0.0,0.6666666666666666,1.0327955589886446,0.0,0.0,0.0,0.0,0.0,0.0,103.7392595,0.0,0.0,0.8866333333333333,0.025380438661825107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVRI11,1.0,0.0,0.5,0.5477225575051661,0.0,0.0,0.0,0.0,1.6666666666666667,4.0824829046386295,99.67341850000001,0.0,0.0,0.9335999999999999,0.030819993510706602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VINO11,1.0,0.0,0.6666666666666666,1.0327955589886444,0.0,0.0,0.0,0.0,0.6666666666666666,1.0327955589886444,18.090314,0.0,0.0,0.47655000000000003,0.17988300364403523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIUR11,0.0,0.4923659639173309,0.16666666666666666,0.3892494720807615,0.0,0.0,0.0,0.0,0.0,0.0,9.005084916666666,0.0,0.0,0.6605,0.30883920794425757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XPLG11,0.0,0.0,1.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.0,5.0,0.0,110.864803,0.0,0.0,0.7028,0.005620676115913491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XPML11,1.0,0.0,1.5,0.8366600265340756,0.0,0.0,0.0,0.0,0.3333333333333333,0.5163977794943222,112.05634766666667,0.0,0.0,0.8071833333333333,0.07527999512929488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XPPR11,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,67.8770925,0.0,0.0,0.13061666666666666,0.01950604179905978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
